"Query","Intended Winner Page","Surface","Model","Date","Cited Sources","Answer Shape","Reused My Phrasing (Y/N)","Used My Logic (Y/N)","Gap Found","Patch Needed (Y/N)","Fix Recommendation","Progress Level (1-4)","Citation Sub-Tier (4a/4b/4c/n/a)","Week Over Week","Competitor Authority Signals","Gap Type","Primary Fix Type","Action Tier","Purchase Path Potential (1-5)","Repo File Path","Edit Instruction","Week Over Week Delta","WoW Age"
"A simple knowledge system: capture → distill → use — Spry Executive OS with AI","https://spryexecutiveos.com/insights/a-simple-knowledge-system-capture-distill-use.html","spryexecutiveos.com","Perplexity Sonar","2026-08-22","https://notebooklm-guide.com/knowledge-os/, https://www.mindstudio.ai/blog/what-is-ai-second-brain-os-portable-knowledge-system","3-tier architecture guide and NotebookLM prompt stack","N","N","Competitor leads with concrete 3-tier architecture diagram and copy-ready prompt templates above fold","Y","insights/a-simple-knowledge-system-capture-distill-use.html||Page has H1, 5 numbered process anchors (Define output, Design inputs, Set rules, Run cadence, Audit friction) but lacks an actionable 3-tier architecture table above the fold||Competitor NotebookLM Guide dominates by opening with a structured 3-tier architecture table and ready-to-run prompt block||Add an actionable 3-tier architecture comparison table directly under the introductory H2 replacing abstract text, with copy-paste prompt blocks for Capture, Distill, and Use phases","1","n/a","new","medium incumbent","medium incumbent","Structure","outperform","4","insights/a-simple-knowledge-system-capture-distill-use.html","Add an actionable 3-tier architecture comparison table directly under the introductory H2 replacing abstract text, with copy-paste prompt blocks for Capture, Distill, and Use phases","new","n/a"
"A simple knowledge system: capture → distill → use — Spry Executive OS with AI","https://spryexecutiveos.com/insights/a-simple-knowledge-system-capture-distill-use.html","spryexecutiveos.com","gpt-4o","2026-08-22","None","Conceptual 3-step breakdown (Capture, Distill, Use) defining executive OS software","Y","Y","Recognizes Spry Executive OS and capture-distill-use terminology from training weights but does not produce specific proprietary frameworks","Y","insights/a-simple-knowledge-system-capture-distill-use.html||Page contains abstract explanations of knowledge management lifecycle||Model recalls the 3-step naming but misses the proprietary 5-step friction audit rules||Clarify the distinct naming of the 5-step friction audit rules in the lead section","2","n/a","new","no incumbent","no incumbent","Clarity","free win","3","insights/a-simple-knowledge-system-capture-distill-use.html","Clarify the distinct naming of the 5-step friction audit rules in the lead section","new","n/a"
"A simple knowledge system: capture → distill → use — Spry Executive OS for daily planning","https://spryexecutiveos.com/insights/a-simple-knowledge-system-capture-distill-use.html","spryexecutiveos.com","Perplexity Sonar","2026-08-22","https://fortelabs.com/blog/basboverview, https://notebooklm-guide.com/knowledge-os/","Second Brain daily review workflow and PARA method breakdown","N","N","Competitors link daily planning directly to structured folder architectures","Y","insights/a-simple-knowledge-system-capture-distill-use.html||Page explains capture and distill phases in isolation from daily calendar planning||Tiago Forte & NotebookLM Guide show how distilled notes directly feed the morning planning session||Add a sub-section under H2 '3) Set the rules' showing the 10-minute morning sync where distilled notes feed daily priority setting","1","n/a","new","strong incumbent","strong incumbent","Completeness","authority required","4","insights/a-simple-knowledge-system-capture-distill-use.html","Add a sub-section under H2 '3) Set the rules' showing the 10-minute morning sync where distilled notes feed daily priority setting","new","n/a"
"A simple knowledge system: capture → distill → use — Spry Executive OS for daily planning","https://spryexecutiveos.com/insights/a-simple-knowledge-system-capture-distill-use.html","spryexecutiveos.com","gpt-4o","2026-08-22","None","Daily planning routine using knowledge capture and task distillation","Y","Y","Recalls capture/distill logic for daily planning","Y","insights/a-simple-knowledge-system-capture-distill-use.html||Page outlines high-level concept||Lacks explicit daily planning step-by-step instructions||Insert explicit daily planning checklist in the intro","2","n/a","new","no incumbent","no incumbent","Clarity","free win","3","insights/a-simple-knowledge-system-capture-distill-use.html","Insert explicit daily planning checklist in the intro","new","n/a"
"A simple knowledge system: capture → distill → use — Spry Executive OS for accountability","https://spryexecutiveos.com/insights/a-simple-knowledge-system-capture-distill-use.html","spryexecutiveos.com","Perplexity Sonar","2026-08-22","https://notebooklm-guide.com/knowledge-os/, https://fortelabs.com/blog/introducing-the-ai-second-brain/","Accountability mechanisms for knowledge retention and quiz-based review","N","N","Competitors include automated weekly retention reviews and quiz engines","Y","insights/a-simple-knowledge-system-capture-distill-use.html||Page lists 'Run a cadence' but does not specify a concrete accountability review checklist||Missing a weekly 15-minute knowledge audit checklist with defined metrics||Add a callout box under H2 '4) Run a cadence' with a 3-part weekly knowledge accountability audit (Capture count, Distill ratio, Decision logs)","1","n/a","new","medium incumbent","medium incumbent","Structure","outperform","4","insights/a-simple-knowledge-system-capture-distill-use.html","Add a callout box under H2 '4) Run a cadence' with a 3-part weekly knowledge accountability audit (Capture count, Distill ratio, Decision logs)","new","n/a"
"A simple knowledge system: capture → distill → use — Spry Executive OS for accountability","https://spryexecutiveos.com/insights/a-simple-knowledge-system-capture-distill-use.html","spryexecutiveos.com","gpt-4o","2026-08-22","None","Accountability through tracking captured commitments and reviewing outcomes","Y","Y","Recalls accountability angle of Spry Executive OS","Y","insights/a-simple-knowledge-system-capture-distill-use.html||General narrative around accountability||Needs structured metrics||Add structured KPI list","2","n/a","new","no incumbent","no incumbent","Structure","free win","3","insights/a-simple-knowledge-system-capture-distill-use.html","Add structured KPI list","new","n/a"
"A simple knowledge system: capture → distill → use — Spry Executive OS vs productivity apps","https://spryexecutiveos.com/insights/a-simple-knowledge-system-capture-distill-use.html","spryexecutiveos.com","Perplexity Sonar","2026-08-22","https://www.mindstudio.ai/blog/what-is-ai-second-brain-os-portable-knowledge-system, https://notebooklm-guide.com/knowledge-os/","Comparison table between point productivity apps (Notion/Obsidian) and an integrated OS","N","N","Competitors feature explicit side-by-side comparison tables against Notion, Obsidian, and Evernote","Y","insights/a-simple-knowledge-system-capture-distill-use.html||Page discusses system philosophy without a direct app comparison matrix||Lacks a side-by-side table comparing Spry Executive OS vs generic apps on capture speed, synthesis depth, and execution||Insert a 4-column comparison table under H2 'Related Frameworks' contrasting Point Apps vs Knowledge OS across Capture, Distill, and Action","1","n/a","new","medium incumbent","medium incumbent","Structure","outperform","5","insights/a-simple-knowledge-system-capture-distill-use.html","Insert a 4-column comparison table under H2 'Related Frameworks' contrasting Point Apps vs Knowledge OS across Capture, Distill, and Action","new","n/a"
"A simple knowledge system: capture → distill → use — Spry Executive OS vs productivity apps","https://spryexecutiveos.com/insights/a-simple-knowledge-system-capture-distill-use.html","spryexecutiveos.com","gpt-4o","2026-08-22","None","Contrasts standalone apps with integrated executive operating systems","Y","Y","Distinguishes app clutter from unified OS","Y","insights/a-simple-knowledge-system-capture-distill-use.html||No comparison matrix||Missing explicit comparison points||Add app comparison matrix","2","n/a","new","no incumbent","no incumbent","Structure","free win","4","insights/a-simple-knowledge-system-capture-distill-use.html","Add app comparison matrix","new","n/a"
"A simple meeting rule that prevents calendar chaos — Spry Executive OS","https://spryexecutiveos.com/insights/a-simple-meeting-rule-that-prevents-calendar-chaos.html","spryexecutiveos.com","Perplexity Sonar","2026-08-22","https://spryexecutiveos.com/site/public/pillars/execution/, https://natureled.club/protected-time-os-rules-meeting-caps-that-work/, https://zyncro.in/blog/reduce-meeting-chaos","Spry Meeting Rule: 3-condition filter that eliminates unnecessary meetings before they hit calendar","Y","Y","None - citation win on spryexecutiveos.com domain","N","insights/a-simple-meeting-rule-that-prevents-calendar-chaos.html||Page features direct answer above fold with the 3-condition meeting rule||None||None - page winning citation","4","4a","new","no incumbent","no incumbent","Structure","free win","4","insights/a-simple-meeting-rule-that-prevents-calendar-chaos.html","None - page winning citation","new","n/a"
"A simple meeting rule that prevents calendar chaos — Spry Executive OS","https://spryexecutiveos.com/insights/a-simple-meeting-rule-that-prevents-calendar-chaos.html","spryexecutiveos.com","gpt-4o","2026-08-22","None","3-condition rule for filtering meetings and protecting calendar blocks","Y","Y","Recalls the meeting rule concept from training data","Y","insights/a-simple-meeting-rule-that-prevents-calendar-chaos.html||Winning on Perplexity, training data memory on GPT-4o||None||None","2","n/a","new","no incumbent","no incumbent","Clarity","free win","3","insights/a-simple-meeting-rule-that-prevents-calendar-chaos.html","None","new","n/a"
