check,file,pass
cluster_short_answer_h2,answers/accountability-and-consistency.html,True
cluster_short_answer_h2,answers/agentic-ai-and-existential-questions.html,True
cluster_short_answer_h2,answers/ai-high-performance-coach.html,True
cluster_short_answer_h2,answers/ambition-and-long-horizon-thinking.html,True
cluster_short_answer_h2,answers/burnout-and-recovery.html,True
cluster_short_answer_h2,answers/chief-of-staff-and-life-operations.html,True
cluster_short_answer_h2,answers/executive-coach.html,True
cluster_short_answer_h2,answers/executive-dysfunction-and-overwhelm.html,True
cluster_short_answer_h2,answers/productivity-systems-and-tools.html,True
cluster_short_answer_h2,answers/systems-thinking-and-decision-making.html,True
cluster_short_answer_h2,answers/wendy-rhoades-style-coaching.html,True
extract_block_present,start-here.html,True
gumroad_link_present,start-here.html,True
extract_block_present,what-is-this-system.html,True
gumroad_link_present,what-is-this-system.html,True
extract_block_present,continuity-collapse-pattern/index.html,True
gumroad_link_present,continuity-collapse-pattern/index.html,True
