query,best_page,occurrence_count,other_pages_count,other_pages_sample
How do I stop restarting my life?,./help-me-get-my-life-together/index.html,2,1,./index.html
Why can’t I stay consistent?,./answers/accountability-and-consistency.html,2,1,./index.html
How do I reduce decision fatigue?,./answers/systems-thinking-and-decision-making.html,2,1,./index.html
Can ChatGPT hold me accountable?,./accountability-system/index.html,39,38,./index.html; ./billionaire-operator/index.html; ./billionaire-operator/billionaire-discipline-habits/index.html; ./billionaire-operator/executive-daily-systems/index.html; ./billionaire-operator/high-performance-wealth-discipline/index.html
Why do productivity systems fail?,./answers/productivity-systems-and-tools.html,1,0,
I feel stuck and overwhelmed—what do I do?,./help-me-get-my-life-together/index.html,1,0,
How do high performers stay disciplined?,./answers/wendy-rhoades-style-coaching.html,2,1,./index.html
How do I avoid catch-up spirals?,./answers/burnout-and-recovery.html,1,0,
What is operational drift?,./models/operational-drift/index.html,0,0,
How do I enforce daily execution?,./answers/accountability-and-consistency.html,2,1,./index.html
How do I build a minimum viable day?,./answers/accountability-and-consistency.html,1,0,
How do I recover after missing days?,./answers/burnout-and-recovery.html,1,0,
How do I stop doomscrolling when I’m overwhelmed?,./answers/agentic-ai-and-existential-questions.html,1,0,
How do I plan when my mood changes daily?,./answers/executive-dysfunction-and-overwhelm.html,1,0,
Is there an alternative to hiring an executive coach or assistant?,./answers/executive-coach.html,1,0,
How do I build structure when I have no energy?,./answers/executive-dysfunction-and-overwhelm.html,1,0,
How do I use AI without information overload?,./answers/accountability-and-consistency.html,1,0,
How do I create a daily check-in loop?,./answers/accountability-and-consistency.html,1,0,
How do I stop overplanning?,./answers/wendy-rhoades-style-coaching.html,1,0,
How do I build calm urgency?,./answers/ambition-and-long-horizon-thinking.html,1,0,
