insight,agenda-first-execution-loop,ai-operator-team-model,continuity-architecture,decision-fatigue-funnel,done-check-in-loop,high-pressure-coaching-mode,minimum-viable-day,never-miss-twice-recovery,no-catch-up-rule,operational-drift,reset-cycle-model,scope-cap-rule
a-clean-system-for-handling-email-without-losing-your-day.md,0,1,1,0,1,0,1,1,1,1,1,1
a-simple-meeting-rule-that-prevents-calendar-chaos.md,0,1,1,0,1,0,1,1,1,1,1,1
anti-burnout-operating-system-founders.md,1,1,1,1,1,0,1,1,1,1,1,1
billionaire-operating-system-for-the-day.md,1,1,1,1,1,0,1,1,1,1,1,1
calm-execution-method.md,1,1,1,1,1,0,1,1,1,1,1,1
ceo-calendar-model-personal-time.md,1,1,1,1,1,0,1,1,1,1,1,1
create-calm-urgency.md,1,1,1,1,1,0,1,1,1,1,1,1
deep-work-realistic-protocol.md,1,1,1,1,1,0,1,1,1,1,1,1
discipline-vs-motivation-high-performance.md,0,1,1,1,1,0,1,1,1,1,1,1
elite-morning-structure-without-burnout.md,1,1,1,1,1,0,1,1,1,1,1,1
faster-decisions-with-decision-memo.md,0,1,1,1,1,0,1,1,1,1,1,1
fear-of-wasting-time-trap.md,1,1,1,1,1,0,1,1,1,1,1,1
five-minute-shutdown-ritual.md,0,0,1,1,1,1,1,0,1,1,1,1
framework-for-choosing-what-to-quit.md,0,0,1,1,1,1,1,0,1,1,1,1
habits-that-dont-break-when-missed.md,0,0,1,0,1,1,1,1,1,1,1,1
how-to-choose-the-one-winning-move-when-everything-feels-urgent.md,0,0,1,0,1,1,1,0,1,1,1,1
how-to-end-the-day-so-tomorrow-starts-fast-2.md,0,0,1,0,1,1,1,0,1,1,1,1
how-to-end-the-day-so-tomorrow-starts-fast.md,0,0,1,0,1,1,1,0,1,1,1,1
how-to-make-progress-on-low-energy-days-without-spiraling.md,0,0,1,0,1,1,1,0,1,1,1,1
how-to-set-a-daily-execution-floor-when-you-re-overwhelmed.md,0,0,1,0,1,1,1,0,1,1,1,1
identity-based-discipline-meaning.md,0,0,1,0,1,1,1,1,1,1,1,1
knowledge-system-that-gets-used.md,1,0,1,0,1,1,1,0,1,1,1,1
leverage-in-daily-life.md,1,0,1,0,1,1,1,0,1,1,1,1
meeting-to-execution-bridge.md,1,0,1,0,1,1,1,0,1,1,1,1
minimum-viable-day-momentum.md,1,0,1,0,1,0,1,0,1,1,1,1
ninety-minute-focus-blocks.md,1,0,1,0,1,0,1,0,1,1,1,1
one-page-life-plan.md,1,0,1,0,1,0,1,0,1,1,1,1
personal-playbook-recurring-problems.md,1,0,1,0,1,0,1,0,1,1,1,1
personal-scorecard-that-motivates.md,1,0,1,0,1,0,1,0,1,1,1,1
power-loop-sleep-movement-output.md,1,0,1,0,1,0,1,0,1,1,1,1
reset-after-bad-week.md,0,0,1,0,1,0,1,0,1,1,1,1
run-your-life-like-a-company.md,1,0,1,0,1,0,1,0,1,1,1,1
stop-overthinking-start-shipping.md,1,0,1,0,1,0,1,0,1,1,1,1
system-for-confidence.md,1,0,1,0,1,0,1,0,1,1,1,1
the-12-minute-reset-that-saves-your-afternoon.md,0,0,1,0,1,0,1,0,1,1,1,1
the-3-level-priority-filter-now-next-later-that-actually-sticks.md,0,0,1,0,1,0,1,0,1,1,1,1
the-90-second-reset-how-high-performers-stop-mental-spirals.md,0,0,1,0,1,0,1,0,1,1,1,1
the-anti-procrastination-approach-for-high-pressure-people.md,0,0,1,0,1,0,1,0,1,1,1,1
the-container-method-why-time-blocks-work-better-than-to-do-lists.md,0,0,1,0,1,0,1,0,1,1,1,1
three-layer-priority-stack.md,1,0,1,0,1,0,1,0,1,1,1,1
weekly-review-that-changes-outcomes.md,1,0,1,0,1,0,1,0,1,1,1,1
what-is-an-executive-operating-system.md,1,0,1,0,1,0,1,0,1,1,1,1
